Generation,Timestamp,X-Axis,Y-Axis,Z-Axis,Frequency,
0,"0","-0.2027","-0.8841","9.9114","200.222",
1,"0.039","-0.1991","-0.8949","9.9138","200.2127",
2,"0.049","-0.2267","-0.8698","9.9162","200.2202",
3,"0.117","-0.2243","-0.8817","9.9078","200.1167",
4,"0.117","-0.2171","-0.8853","9.9138","200.21",
5,"0.119","-0.1979","-0.8985","9.9209","200.2138",
6,"0.199","-0.2279","-0.8889","9.9078","200.1915",
7,"0.202","-0.2087","-0.8686","9.9138","200.2185",
8,"0.273","-0.2458","-0.8889","9.9018","200.2121",
9,"0.277","-0.2087","-0.871","9.9138","200.2158",
10,"0.282","-0.2135","-0.8817","9.8886","200.2196",
11,"0.341","-0.2255","-0.8781","9.915","200.202",
12,"0.343","-0.2267","-0.865","9.897","200.2252",
13,"0.347","-0.1967","-0.8674","9.9078","200.2289",
14,"0.352","-0.2039","-0.8889","9.8898","200.2326",
15,"0.412","-0.2207","-0.8638","9.9078","200.2188",
16,"0.417","-0.2207","-0.8734","9.9102","200.2225",
17,"0.468","-0.2159","-0.9033","9.9138","200.2207",
18,"0.516","-0.2386","-0.8662","9.9245","200.2152",
19,"0.518","-0.2219","-0.8698","9.903","200.2189",
20,"0.561","-0.1944","-0.8901","9.8755","200.2097",
21,"0.563","-0.2195","-0.9129","9.885","200.2134",
22,"0.567","-0.241","-0.8793","9.9018","200.2171",
23,"0.614","-0.2039","-0.9129","9.9425","200.2117",
24,"0.617","-0.1944","-0.8961","9.9233","200.2153",
25,"0.658","-0.2051","-0.8961","9.8862","200.2255",
26,"0.662","-0.2231","-0.8973","9.8755","200.2292",
27,"0.667","-0.2243","-0.8829","9.9006","200.2329",
28,"0.708","-0.2279","-0.9105","9.9245","200.2238",
29,"0.712","-0.2147","-0.9105","9.903","200.2274",
30,"0.717","-0.2219","-0.8841","9.8838","200.2311",
31,"0.757","-0.2123","-0.8781","9.9078","200.222",
32,"0.761","-0.2003","-0.8757","9.9042","200.2256",
33,"0.767","-0.2063","-0.8853","9.9102","200.2293",
34,"0.809","-0.2267","-0.8817","9.9066","200.2202",
35,"0.811","-0.2039","-0.8925","9.9102","200.2239",
36,"0.816","-0.1908","-0.8877","9.9257","200.2275",
37,"0.858","-0.2255","-0.9093","9.9377","200.2184",
38,"0.861","-0.1979","-0.8961","9.9461","200.2221",
39,"0.867","-0.1967","-0.8674","9.9126","200.2258",
40,"0.91","-0.2171","-0.9081","9.9233","200.2166",
41,"0.912","-0.2291","-0.8734","9.8898","200.2203",
42,"0.917","-0.2087","-0.8338","9.8922","200.224",
43,"0.955","-0.2243","-0.8925","9.8958","200.2112",
44,"0.956","-0.2111","-0.871","9.891","200.2341",
45,"0.961","-0.2075","-0.8793","9.9054","200.2185",
46,"0.966","-0.2219","-0.9129","9.9269","200.2222",
47,"0.999","-0.2051","-0.8889","9.9281","200.2058",
48,"1.001","-0.2207","-0.8686","9.9269","200.2286",
49,"1.051","-0.2446","-0.871","9.8994","200.204",
50,"1.053","-0.186","-0.865","9.9162","200.2269",
51,"1.103","-0.2051","-0.865","9.9233","200.2251",
52,"1.106","-0.2159","-0.8973","9.9042","200.2287",
53,"1.112","-0.2075","-0.9153","9.9138","200.2324",
54,"1.116","-0.2255","-0.8973","9.9245","200.2169",
55,"1.156","-0.2087","-0.9033","9.891","200.2042",
56,"1.157","-0.2099","-0.8853","9.8814","200.227",
57,"1.161","-0.2374","-0.9021","9.9329","200.2306",
58,"1.166","-0.2195","-0.9093","9.9401","200.2151",
59,"1.201","-0.2327","-0.8817","9.9102","200.1988",
60,"1.202","-0.235","-0.8805","9.9317","200.2216",
61,"1.242","-0.2291","-0.8662","9.9162","200.2125",
62,"1.246","-0.2243","-0.9045","9.9317","200.2162",
63,"1.251","-0.2123","-0.8865","9.8994","200.2198",
64,"1.286","-0.2231","-0.8865","9.9185","200.2035",
65,"1.288","-0.2075","-0.8757","9.879","200.2071",
66,"1.292","-0.1991","-0.8805","9.9257","200.2298",
67,"1.296","-0.2494","-0.8781","9.903","200.2335",
68,"1.301","-0.2219","-0.8734","9.909","200.218",
69,"1.329","-0.2159","-0.8841","9.8731","200.2172",
70,"1.331","-0.2363","-0.9021","9.8731","200.2208",
71,"1.374","-0.2267","-0.8734","9.909","200.2118",
72,"1.376","-0.2135","-0.865","9.8958","200.2344",
73,"1.381","-0.2063","-0.8829","9.9042","200.219",
74,"1.386","-0.2087","-0.8865","9.9102","200.2227",
75,"1.426","-0.2171","-0.9153","9.897","200.2137",
76,"1.431","-0.2662","-0.8817","9.8958","200.2173",
77,"1.474","-0.2087","-0.8793","9.9126","200.2083",
78,"1.476","-0.2207","-0.8877","9.8922","200.2309",
79,"1.481","-0.2255","-0.8482","9.9209","200.2155",
80,"1.525","-0.2279","-0.8913","9.8826","200.2066",
81,"1.527","-0.2243","-0.8913","9.8719","200.2102",
82,"1.532","-0.2255","-0.9129","9.909","200.2138",
83,"1.537","-0.2123","-0.9009","9.9174","200.2174",
84,"1.572","-0.2171","-0.8853","9.9138","200.2238",
85,"1.576","-0.2183","-0.8626","9.8874","200.2274",
86,"1.58","-0.2327","-0.8817","9.8767","200.231",
87,"1.585","-0.2195","-0.9009","9.8814","200.2346",
88,"1.623","-0.2315","-0.8961","9.9006","200.222",
89,"1.626","-0.2123","-0.8877","9.9006","200.2256",
90,"1.631","-0.2111","-0.8805","9.8838","200.2292",
91,"1.636","-0.2374","-0.8805","9.9078","200.2328",
92,"1.676","-0.2027","-0.9069","9.9329","200.2239",
93,"1.681","-0.2207","-0.8674","9.891","200.2275",
94,"1.686","-0.2386","-0.8327","9.9054","200.2311",
95,"1.721","-0.2422","-0.8853","9.8898","200.2186",
96,"1.725","-0.2303","-0.9009","9.9042","200.2221",
97,"1.73","-0.2255","-0.8913","9.8982","200.2258",
98,"1.735","-0.2135","-0.8722","9.8874","200.2293",
99,"1.773","-0.2315","-0.8757","9.897","200.2168",
100,"1.776","-0.2075","-0.8626","9.885","200.2204",
101,"1.781","-0.2482","-0.871","9.9305","200.224",
102,"1.785","-0.2087","-0.8746","9.9221","200.2276",
103,"1.819","-0.2171","-0.8949","9.9138","200.2115",
104,"1.822","-0.2099","-0.8674","9.891","200.2151",
105,"1.826","-0.2422","-0.8913","9.8934","200.2187",
106,"1.83","-0.2363","-0.8817","9.9018","200.2223",
107,"1.835","-0.2267","-0.8446","9.8934","200.2259",
108,"1.865","-0.2339","-0.8937","9.9006","200.2062",
109,"1.866","-0.2159","-0.8793","9.903","200.2286",
110,"1.91","-0.2099","-0.8913","9.9174","200.2233",
111,"1.915","-0.2374","-0.8997","9.903","200.2268",
112,"1.955","-0.247","-0.871","9.8707","200.2179",
113,"1.961","-0.2147","-0.8877","9.9138","200.2215",
114,"1.966","-0.2159","-0.8614","9.9126","200.2251",
115,"2.012","-0.2135","-0.9129","9.9102","200.2198",
116,"2.023","-0.2303","-0.8817","9.891","200.2082",
117,"2.056","-0.2147","-0.9021","9.8958","200.2145",
118,"2.061","-0.2123","-0.8805","9.9245","200.218",
119,"2.065","-0.2267","-0.8889","9.9042","200.2216",
120,"2.099","-0.2003","-0.8781","9.8994","200.2056",
121,"2.101","-0.2039","-0.877","9.9353","200.2279",
122,"2.143","-0.2015","-0.9105","9.897","200.2191",
123,"2.146","-0.2159","-0.9141","9.9054","200.2226",
124,"2.15","-0.2315","-0.8841","9.8587","200.2262",
125,"2.185","-0.2171","-0.8985","9.9126","200.2138",
126,"2.19","-0.2183","-0.9021","9.9018","200.2173",
127,"2.195","-0.2135","-0.8949","9.879","200.2209",
128,"2.199","-0.2051","-0.8781","9.9126","200.2244",
129,"2.231","-0.2494","-0.8901","9.8779","200.2271",
130,"2.235","-0.2111","-0.8973","9.9126","200.2307",
131,"2.276","-0.2434","-0.8841","9.9233","200.2219",
132,"2.28","-0.2099","-0.871","9.9054","200.2254",
133,"2.285","-0.2099","-0.8853","9.9198","200.229",
134,"2.324","-0.2003","-0.8566","9.8779","200.198",
135,"2.326","-0.186","-0.8722","9.9006","200.2201",
136,"2.33","-0.2291","-0.8937","9.8874","200.2237",
137,"2.335","-0.241","-0.9045","9.9269","200.2272",
138,"2.374","-0.2303","-0.8781","9.9018","200.1963",
139,"2.376","-0.2458","-0.8925","9.9233","200.2184",
140,"2.38","-0.2063","-0.9308","9.885","200.222",
141,"2.385","-0.2339","-0.8889","9.9018","200.2255",
142,"2.425","-0.2386","-0.9212","9.9066","200.1946",
143,"2.426","-0.2015","-0.8793","9.9353","200.2167",
144,"2.43","-0.2303","-0.865","9.915","200.2203",
145,"2.435","-0.2183","-0.8865","9.9305","200.2238",
146,"2.482","-0.1979","-0.8997","9.9174","200.2186",
147,"2.485","-0.2135","-0.8805","9.8934","200.2221",
148,"2.527","-0.2159","-0.9033","9.9281","200.1912",
149,"2.528","-0.2219","-0.9141","9.9102","200.2133",
150,"2.529","-0.1955","-0.9069","9.9066","200.2168",
151,"2.535","-0.2135","-0.9033","9.8934","200.2204",
152,"2.572","-0.2123","-0.8829","9.8922","200.2081",
153,"2.574","-0.2255","-0.9153","9.9162","200.2301",
154,"2.58","-0.2123","-0.9141","9.8994","200.2337",
155,"2.584","-0.2003","-0.9033","9.9257","200.2187",
156,"2.618","-0.2279","-0.8985","9.9198","200.2028",
157,"2.62","-0.2207","-0.8674","9.8946","200.2249",
158,"2.669","-0.2446","-0.8901","9.8934","200.2012",
159,"2.671","-0.2135","-0.8781","9.9018","200.2232",
160,"2.675","-0.2267","-0.877","9.9174","200.2267",
161,"2.68","-0.2398","-0.8877","9.879","200.2302",
162,"2.684","-0.2303","-0.9081","9.9114","200.2338",
163,"2.72","-0.2315","-0.8865","9.897","200.2215",
164,"2.724","-0.2315","-0.9153","9.8838","200.225",
165,"2.729","-0.2219","-0.9021","9.8994","200.2285",
166,"2.734","-0.2327","-0.8925","9.903","200.232",
167,"2.765","-0.2027","-0.9009","9.8898","200.1943",
168,"2.767","-0.2231","-0.865","9.8814","200.2162",
169,"2.813","-0.2195","-0.8829","9.9042","200.211",
170,"2.815","-0.2063","-0.8793","9.8922","200.2146",
171,"2.859","-0.2195","-0.8757","9.9042","200.2058",
172,"2.861","-0.235","-0.8746","9.9066","200.2278",
173,"2.864","-0.2159","-0.8626","9.8982","200.2313",
174,"2.869","-0.2135","-0.9081","9.9006","200.2348",
175,"2.913","-0.2279","-0.8901","9.903","200.2077",
176,"2.918","-0.2315","-0.8829","9.9102","200.2112",
177,"2.968","-0.2219","-0.9021","9.8958","200.2095",
178,"3.01","-0.4733","-1.1822","10.7063","200.2227",
179,"3.014","0.5131","-1.3366","9.5068","200.2262",
180,"3.019","0.0678","-1.8454","9.9928","200.2297",
181,"3.06","-0.4242","-0.8662","9.8958","200.221",
182,"3.064","0.0379","-1.0553","9.8336","200.2245",
183,"3.069","0.2294","-1.1595","9.8994","200.228",
184,"3.112","0.1097","-1.1942","9.9221","200.201",
185,"3.114","0.1468","-1.3666","9.8982","200.2228",
186,"3.158","-0.3224","-1.0266","9.9078","200.2141",
187,"3.159","-0.1764","-1.1403","9.9185","200.2176",
188,"3.167","-0.1082","-1.1391","9.9473","200.2211",
189,"3.169","-0.1273","-1.0493","9.8755","200.2246",
190,"3.207","-0.0112","-1.3235","9.9006","200.2124",
191,"3.209","-0.0232","-1.2074","9.8719","200.2342",
192,"3.214","-0.0926","-0.9727","9.8958","200.2194",
193,"3.219","-0.1788","-0.8015","9.8575","200.2229",
194,"3.252","-0.4026","-0.7788","9.9269","200.2073",
195,"3.295","-0.4158","-0.7321","9.8671","200.2204",
196,"3.299","-0.5595","-0.6663","9.9078","200.2238",
197,"3.345","-0.1237","-0.768","9.8599","200.2187",
198,"3.349","-0.0291","-0.8877","9.8755","200.2222",
199,"3.392","-0.0471","-1.0577","9.8934","200.2135",
200,"3.394","-0.3045","-0.7872","9.9473","200.217",
201,"3.399","-0.4481","-0.5896","9.8802","200.2205",
202,"3.437","0.0798","-1.2109","9.9006","200.2084",
203,"3.439","0.0618","-1.0505","9.8874","200.23",
204,"3.444","-0.1536","-0.8614","9.9042","200.2335",
205,"3.448","-0.3093","-0.7955","9.9533","200.2188",
206,"3.485","-0.1896","-0.9129","9.8946","200.2249",
207,"3.489","-0.0196","-1.0936","9.8802","200.2283",
208,"3.494","0.0403","-1.1212","9.8982","200.2318",
209,"3.499","-0.0052","-1.0326","9.9018","200.2171",
210,"3.503","-0.1525","-0.8829","9.9138","200.2206",
211,"3.53","-0.4864","-0.6962","9.8994","200.2198",
212,"3.534","-0.3464","-0.8865","9.8719","200.2232",
213,"3.581","-0.3296","-0.9069","9.9293","200.2181",
214,"3.584","-0.49","-0.7908","9.9281","200.2215",
215,"3.637","0.1085","-0.7129","9.8982","200.2018",
216,"3.639","-0.3835","-0.7656","9.8958","200.2233",
217,"3.644","-0.5068","-0.7548","9.9233","200.2268",
218,"3.648","-0.5559","-0.6902","9.8958","200.2302",
219,"3.693","-0.1608","-0.7524","9.8958","200.2036",
220,"3.695","-0.1177","-0.7716","9.8755","200.2251",
221,"3.699","-0.1273","-0.8398","9.8826","200.2286",
222,"3.738","-0.0124","-1.1343","9.8838","200.22",
223,"3.743","-0.0579","-0.9524","9.9329","200.2234",
224,"3.748","-0.1333","-0.8207","9.8898","200.2269",
225,"3.792","0.063","-1.1607","9.9473","200.2003",
226,"3.794","-0.0471","-1.0505","9.9329","200.2218",
227,"3.799","-0.0914","-0.932","9.8862","200.2252",
228,"3.852","-0.0686","-1.0601","9.9018","200.2055",
229,"3.854","-0.0986","-0.9512","9.8719","200.227",
230,"3.858","-0.1848","-0.7333","9.8743","200.2304",
231,"3.863","-0.2734","-0.6244","9.9162","200.2158",
232,"3.868","0.1001","-0.1359","9.8372","200.2193",
233,"3.896","-0.3212","-1.1678","9.9832","200.2184",
234,"3.898","-0.3643","-1.2121","10.0371","200.2219",
235,"3.94","-1.3819","-0.1707","9.994","200.2133",
236,"3.943","-0.2925","-0.695","9.8312","200.2168",
